mediaTitle,mediaCategory,mediaSynopsis,mediaGenre__-,mediaLanguage,mediaReleaseDate,mediaPosterUrl,mediaStudioName,mediaCrew__crewName,mediaCrew__crewRole,mediaCast__screenName,mediaCast__realName,mediaUrl,mediaTrailerUrl,mediaType
Raman Raghav2.0,Movie,Raman Raghav 2.0 is a 2016 Indian neo-noir psychological thriller film directed by Anurag Kashyap.,action,Hindi,2016-05-16,https://upload.wikimedia.org/wikipedia/en/thumb/5/53/Raman_Raghav_2.png/220px-Raman_Raghav_2.jpg,Phantom Films,Anurag Kashyap,director, raman, raman,RamanRaghav.mp4,null,free
2.o,Movie,2.0 is a 2018 Indian Tamil-language science fiction action film written  directed by S. Shankar.,action,Tamil,2018-11-29,"https://m.media-amazon.com/images/M/MV5BOGNhMWE2YzktYzU0Yi00OGFlLTlhYzMtODBiOGFiZTM1YjI1XkEyXkFqcGdeQXVyODIwMDI1NjM@._V1_UY268_CR4,0,182,268_AL_.jp",Lyca Productions,Rajnikanth,Hero,Vasvegaran,Rajnikanth,null,null,premium
Tiger Zinda Hai,Movie,Tiger Zinda Hai is a 2017 Indian Hindi-language action thriller film.,action,Hindi,2011-12-22,https://upload.wikimedia.org/wikipedia/en/thumb/2/22/Tiger_Zinda_Hai_poster.jpg/220px-Tiger_Zinda_Hai_poster.jpg,Yash Raj Films,Ali Abbas Zafar,director,Avinash ,Salman Khan,null,null,free
Baaghi,Movie,Baaghi (English: Rebel) is a 2016 Indian Hindi-language martial arts film directed  by Sabbir Khan...,action,Hindi,2016-04-29,https://upload.wikimedia.org/wikipedia/en/thumb/0/07/Baaghi_Hindi_film_poster.jpg/220px-Baaghi_Hindi_film_poster.jpg,Nadiadwala Grandson Entertainment Pvt. Ltd.,Sabbir Khan,director,Ranveer Pratap Singh,Tiger shoff,null,null,premium
Dhurva,Movie,Dhruva is a 2016 Indian Telugu-language action thriller film directed by Surender Reddy.,action,Telugu,2016-12-09,https://upload.wikimedia.org/wikipedia/en/thumb/5/53/Dhruva_Telugu_film_poster.jpg/220px-Dhruva_Telugu_film_poster.jpg,Geetha Arts,Allu Aravind,producer,Dhruva ,Ram charan,Dhruva.mp4,null,free
Flash Point,Movie,"Flash Point is a 2007 Hong Kong action film directed by Wilson Yip, and produced by Donnie Yen.",action,English,2007-08-09,https://upload.wikimedia.org/wikipedia/en/thumb/f/f3/Operation_Flashpoint_cover.jpg/220px-Operation_Flashpoint_cover.jpg,Mandarin Films Distribution Co. Ltd.,Wilson Yip,director,  Wilson , Louis Koo  ,flashpoint.mp4,null,premium
Hero,Movie,Hero is a 2015 Indian romantic action film directed by Nikhil Advani and co-written by Umesh Bist.,action,Hindi,2015-09-11,"https://m.media-amazon.com/images/M/MV5BMTQ0NzAyMTIyOF5BMl5BanBnXkFtZTgwMTE2MTY3NjE@._V1_UY268_CR1,0,182,268_AL_.jpg",Salman Khan FilmsMukta Arts Emmay Entertainment,Nikhil Advani,director, Sooraj Kaushik , Sooraj Pancholi ,Hero.mp4,null,free
Tagaru,Movie,Tagaru is a 2018 Indian Tamil-language action drama film directed by Duniya Soori.,action,Tamil,2018-02-23,https://upload.wikimedia.org/wikipedia/en/thumb/6/66/Tagaru.jpg/220px-Tagaru.jpg,Venus Entertainers,K.P.Srikanth,producer,Shiva kumar  ,Shiva Rajkumar  ,Tagaru.mp4,null,premium
Jaguar,Movie,Jaguar is a 2016 Indian bilingual romantic action film produced by H. D. Kumaraswamy.,action,Telugu,2016-10-06,https://upload.wikimedia.org/wikipedia/en/thumb/9/92/Jaguar_Film_Poster.jpg/220px-Jaguar_Film_Poster.jpg, Channambika Films,H. D. Kumaraswamy ,producer, Krishna ,Nikhil Kumar,Jaguar.mp4,null,free
MCA- Middle Class Abbayi,Movie,MCA is a 2017 Indian Telugu language action romantic comedy film written directed by Venu Sri Ram.,action,Telugu,2017-12-21,https://upload.wikimedia.org/wikipedia/en/thumb/0/0f/Middle_Class_Abbayi_poster.jpg/220px-Middle_Class_Abbayi_poster.jpg,Dil Raju,Venu Sri Ram,director,Nani,Nani  ,MCA.mp4,null,premium
